"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Jak1.Mac",4.53413290171709e-82,-0.501069030463414,0.481,0.496,5.55295256473292e-78,"Mac","Jak1",NA
"Zfp36l1.Mac",5.46757166581158e-81,-0.523818216173799,0.37,0.443,6.69613501911944e-77,"Mac","Zfp36l1","TF"
"Gpr171.Mac",3.67093246522802e-80,-0.408963545110215,0.084,0.186,4.49579099016475e-76,"Mac","Gpr171",NA
"Wdr89.Mac",4.14374586295822e-80,-0.283014609338924,0.955,0.889,5.07484555836493e-76,"Mac","Wdr89",NA
"2310001H17Rik.Mac",4.16385757504479e-80,-0.647292526053258,0.193,0.293,5.09947637215736e-76,"Mac","2310001H17Rik",NA
"Fyb.Mac",7.69921027760363e-80,-0.484065697768919,0.336,0.422,9.42922282698117e-76,"Mac","Fyb",NA
"Mmp9.Mac",3.32360654623672e-79,-0.804617845139728,0.074,0.171,4.07042093717611e-75,"Mac","Mmp9","Sec"
"AW112010.Mac",6.36277148398192e-78,-1.29682071503764,0.366,0.419,7.79248623643266e-74,"Mac","AW112010",NA
"Ifitm3.Mac",1.17517229385484e-77,0.583450185789462,0.451,0.279,1.43923350828402e-73,"Mac","Ifitm3",NA
"Hdc.Mac",1.24109387868101e-76,-1.09013017344195,0.112,0.211,1.51996767322063e-72,"Mac","Hdc",NA
"Rnf167.Mac",1.56517085762225e-76,-0.394555112586086,0.135,0.238,1.91686474932997e-72,"Mac","Rnf167",NA
"Hdac7.Mac",6.81625421648676e-76,-0.271693097381968,0.033,0.116,8.34786653893133e-72,"Mac","Hdac7",NA
"Strbp.Mac",1.55984346351738e-75,-0.291685671726841,0.035,0.119,1.91034028976974e-71,"Mac","Strbp",NA
"Msi2.Mac",6.22166488459885e-75,-0.25771066569934,0.031,0.113,7.61967298416821e-71,"Mac","Msi2",NA
"Cxcr2.Mac",7.03586015170182e-75,-0.632732311951291,0.06,0.151,8.61681792778922e-71,"Mac","Cxcr2",NA
"Hp.Mac",2.41550990150844e-74,-0.463614981678924,0.48,0.263,2.95827497637739e-70,"Mac","Hp","Sec"
"Avl9.Mac",5.55989803650677e-74,-0.386937249392935,0.092,0.189,6.80920712530985e-70,"Mac","Avl9",NA
"Ctla2a.Mac",5.01195437844632e-72,-0.745256010630828,0.065,0.155,6.13814052728321e-68,"Mac","Ctla2a",NA
"Irf8.Mac",6.08869281101787e-72,-0.298396310626542,0.528,0.278,7.45682208565359e-68,"Mac","Irf8","TF"
"Rabac1.Mac",7.90103163082235e-72,-0.332261900632565,0.746,0.692,9.67639343826813e-68,"Mac","Rabac1",NA
"Gm20186.Mac",2.4621444575151e-70,-0.455090103134194,0.117,0.214,3.01538831711874e-66,"Mac","Gm20186",NA
"Ccnd2.Mac",4.08480874753988e-70,-0.378988834531055,0.27,0.391,5.00266527311209e-66,"Mac","Ccnd2",NA
"Sorl1.Mac",2.91924399391975e-69,-0.412905696652592,0.119,0.216,3.57519811935352e-65,"Mac","Sorl1","CM"
"Ankrd33b.Mac",1.4141284193734e-68,-0.326726728265238,0.028,0.103,1.7318830752066e-64,"Mac","Ankrd33b",NA
"Ipcef1.Mac",1.09196795224461e-67,-0.252222946358448,0.037,0.116,1.33733315111397e-63,"Mac","Ipcef1",NA
"Foxo1.Mac",4.13302920771923e-67,-0.376608307260786,0.097,0.188,5.06172087069374e-63,"Mac","Foxo1","TF"
"Sub1.Mac",7.19359045864942e-66,-0.298088424076518,0.886,0.821,8.80999023470795e-62,"Mac","Sub1","TF"
"Ube2b.Mac",8.22388610884018e-65,-0.445902707835866,0.543,0.526,1.00717933174966e-60,"Mac","Ube2b",NA
"Rhof.Mac",2.65897213667538e-64,-0.272745106545354,0.052,0.133,3.25644317578634e-60,"Mac","Rhof",NA
"Clec4e.Mac",3.12420740223816e-64,-0.490002264432827,0.42,0.231,3.82621680552107e-60,"Mac","Clec4e",NA
"Fkbp3.Mac",3.3242922590829e-64,-0.462402589537317,0.273,0.342,4.07126072969883e-60,"Mac","Fkbp3",NA
"Clec4d.Mac",1.40735870666062e-63,-0.389937188927664,0.399,0.212,1.72359220804726e-59,"Mac","Clec4d",NA
"Ccl3.Mac",5.30460740306841e-63,-0.623632699829663,0.387,0.226,6.49655268653789e-59,"Mac","Ccl3","Sec"
"Grina.Mac",8.72807947012681e-63,-0.28673183271824,0.498,0.278,1.06892789270643e-58,"Mac","Grina",NA
"Treml2.Mac",2.72462687591615e-62,-0.261208510706283,0.036,0.109,3.33685053493451e-58,"Mac","Treml2",NA
"Ier3.Mac",6.55007928057968e-62,-0.621613103698349,0.437,0.252,8.02188209492593e-58,"Mac","Ier3",NA
"Utrn.Mac",9.22835399821866e-62,-0.261872058825012,0.048,0.125,1.13019651416184e-57,"Mac","Utrn",NA
"Gpr183.Mac",1.32658694749757e-61,-0.330740363750822,0.082,0.168,1.62467103460028e-57,"Mac","Gpr183",NA
"Gpr132.Mac",1.78199981109642e-61,-0.318095983177741,0.103,0.193,2.18241516864978e-57,"Mac","Gpr132",NA
"Tnrc6b.Mac",8.63874142980233e-61,-0.412927833313569,0.266,0.339,1.05798666290789e-56,"Mac","Tnrc6b",NA
"Use1.Mac",1.5312398297679e-60,-0.345623604917389,0.653,0.594,1.87530941951674e-56,"Mac","Use1",NA
"Epsti1.Mac",9.86391792098832e-60,-0.556356468230666,0.22,0.296,1.20803402778344e-55,"Mac","Epsti1",NA
"Selplg.Mac",1.16231380903664e-59,-0.451855920016247,0.766,0.647,1.42348572192718e-55,"Mac","Selplg",NA
"Gm26699.Mac",1.38804733129784e-59,-0.288254946895862,0.069,0.15,1.69994156664046e-55,"Mac","Gm26699",NA
